Sr. No.,Symbol,Company Name,"Market capitalization 
(Rs in Lakhs)"
1,RELIANCE,Reliance Industries Limited,126985361
2,TCS,Tata Consultancy Services Limited,117550304
3,HDFCBANK,HDFC Bank Limited,82341586
4,INFY,Infosys Limited,58277398
5,HINDUNILVR,Hindustan Unilever Limited,57129664
6,HDFC,Housing Development Finance Corporation Limited,44996047
7,ICICIBANK,ICICI Bank Limited,40254860
8,KOTAKBANK,Kotak Mahindra Bank Limited,34737830
9,SBIN,State Bank of India,32512360
10,BAJFINANCE,Bajaj Finance Limited,31032344
11,BHARTIARTL,Bharti Airtel Limited,28410257
12,ITC,ITC Limited,26892695
13,HCLTECH,HCL Technologies Limited,26665830
14,ASIANPAINT,Asian Paints Limited,24338685
15,WIPRO,Wipro Limited,22691736
16,AXISBANK,Axis Bank Limited,21365557
17,MARUTI,Maruti Suzuki India Limited,20720275
18,LT,Larsen & Toubro Limited,19927530
19,ULTRACEMCO,UltraTech Cement Limited,19448517
20,DMART,Avenue Supermarts Limited,18520202
21,ADANIGREEN,Adani Green Energy Limited,17280012
22,BAJAJFINSV,Bajaj Finserv Limited,15386363
23,SUNPHARMA,Sun Pharmaceutical Industries Limited,14343224
24,ADANIPORTS,Adani Ports and Special Economic Zone Limited,14271024
25,HDFCLIFE,HDFC Life Insurance Company Limited,14069812
26,TITAN,Titan Company Limited,13832152
27,ONGC,Oil & Natural Gas Corporation Limited,12850755
28,HINDZINC,Hindustan Zinc Limited,11530896
29,ADANIENT,Adani Enterprises Limited,11340692
30,JSWSTEEL,JSW Steel Limited,11323469
31,POWERGRID,Power Grid Corporation of India Limited,11281923
32,SHREECEM,SHREE CEMENT LIMITED,10631337
33,BAJAJ-AUTO,Bajaj Auto Limited,10621506
34,ATGL,Adani Total Gas Limited,10571924
35,NTPC,NTPC Limited,10331798
36,TATAMOTORS,Tata Motors Limited,10020689
37,ADANITRANS,Adani Transmission Limited,9990675
38,M&M,Mahindra & Mahindra Limited,9886489
39,DIVISLAB,Divi's Laboratories Limited,9617396
40,TECHM,Tech Mahindra Limited,9599814
41,DABUR,Dabur India Limited,9552934
42,GRASIM,Grasim Industries Limited,9543908
43,BPCL,Bharat Petroleum Corporation Limited,9283317
44,PIDILITIND,Pidilite Industries Limited,9194527
45,TATASTEEL,Tata Steel Limited,9145405
46,SBILIFE,SBI Life Insurance Company Limited,8809114
47,BRITANNIA,Britannia Industries Limited,8731596
48,SBICARD,SBI Cards and Payment Services Limited,8730428
49,IOC,Indian Oil Corporation Limited,8646905
50,VEDL,Vedanta Limited,8503087
51,COALINDIA,Coal India Limited,8033116
52,DRREDDY,Dr. Reddy's Laboratories Limited,7510125
53,GODREJCP,Godrej Consumer Products Limited,7460571
54,BERGEPAINT,Berger Paints (I) Limited,7430407
55,INDUSINDBK,IndusInd Bank Limited,7379380
