Sr. No.,CompanyName,BSECode
1,20 Microns Ltd.,533022
2,3i Infotech Ltd.,532628
3,3m India Ltd.,523395
4,7seas Technologies Ltd-$,590116
5,8k Miles Software Services Ltd.,512161
6,A.f. Enterprises Ltd,538351
7,A.k. Spintex Ltd,539300
8,A.k.capital Services Ltd.,530499
9,A2z Infra Engineering Limited,533292
10,Aadhaar Ventures India Ltd.,531611
11,Aadi Industries Ltd.,530027
12,Aagam Capital Ltd.,531866
13,Aananda Lakshmi Spinning Mills Ltd,539096
14,Aanchal Ispat Ltd,538812
15,Aarey Drugs & Pharmaceuticals Ltd.,524412
16,Aarti Drugs Ltd.,524348
17,Aarti Industries Ltd.,524208
18,Aarvee Denims & Exports Ltd.,514274
19,Aarya Global Shares And Securities Ltd.,531731
20,Aashee Infotech Ltd.,519319
21,Aaswa Trading & Exports Ltd.,512038
22,Aban Offshore Ltd.,523204
23,Abans Enterprises Ltd,512165
24,Abb India Limited,500002
25,Abbott India Ltd.,500488
26,Abc Bearings Ltd.-$,505665
27,Abc Gas (international) Ltd.,513119
28,Abc India Ltd.-$,520123
29,Abg Shipyard Ltd.,532682
30,Abhinav Capital Services Ltd.,532057
31,Abhinav Leasing & Finance Ltd,538952
32,Abhishek Corporation Ltd.,532831
33,Abhishek Finlease Ltd,538935
34,Abirami Financial Services (india) Ltd.,511756
35,Abl Biotechnologies Ltd.,526955
36,Abm Knowledgeware Ltd.,531161
37,Acc Ltd.,500410
38,Accel Frontline Ltd.,532774
39,Accel Transmatic Ltd.,517494
40,Accelya Kale Solutions Limitd,532268
41,Accentia Technologies Ltd.-$,531897
42,Acclaim Industries Limited,526347
43,Accurate Transformers Ltd.,530513
44,Ace Edutrend Ltd,530093
45,Ace Software Exports Ltd.-$,531525
46,Ace Tours Worldwide Ltd,536492
47,Achal Investments Ltd,538570
48,Aci Infocom Ltd.,517356
49,Acil Cotton Industries Limited,530901
50,Acknit Industries Ltd.,530043
51,Acme Resources Ltd,539391
52,Acropetal Technologies Ltd.,533330
53,Acrow India Ltd.,513149
54,Acrysil Ltd.,524091
55,Action Construction Equipment Ltd.,532762
56,Action Financial Services (india) Ltd.,511706
57,Ad-manum Finance Ltd.,511359
58,Adani Enterprises Ltd.,512599
59,Adani Ports And Special Economic Zone Ltd.,532921
60,Adani Power Ltd.,533096
61,Adani Transmission Ltd,539254
62,Adarsh Mercantile Ltd,538563
63,Adarsh Plant Protect Ltd.,526711
64,Adc India Communications Limited-$,523411
65,Adcc Infocad Ltd,538734
66,Addi Industries Ltd.-$,507852
67,Adf Foods Ltd.-$,519183
68,Adhbhut Infrastructure Ltd,539189
69,Adhunik Industries Ltd,538365
70,Adhunik Metaliks Ltd.,532727
71,Adi Finechem Ltd.,530117
72,Adi Rasayan Ltd.,531592
73,Adinath Bio-labs Ltd.,590088
74,Adinath Exim Resources Ltd.,532056
75,Adinath Textiles Ltd.,514113
76,Aditya Birla Chemicals (india) Ltd.,500057
77,Aditya Birla Fashion And Retail Ltd,535755
78,Aditya Birla Money Ltd.-$,532974
79,Aditya Birla Nuvo Ltd.,500303
80,Aditya Forge Ltd.,522150
81,Aditya Ispat Ltd.,513513
82,Aditya Spinners Ltd.,521141
83,Adlabs Entertainment Ltd,539056
84,Ador Fontech Ltd.-$,530431
85,Ador Multiproducts Ltd.,523120
86,Ador Welding Ltd.,517041
